==180392== NVPROF is profiling process 180392, command: ./cuda-stream
==180392== Profiling application: ./cuda-stream
==180392== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
326.63ms  1.6782ms          (32768 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void init_kernel<double>(double*, double*, double*, double, double, double) [128]
328.34ms  1.2396ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [135]
329.59ms  1.2376ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [142]
330.84ms  1.8432ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [150]
332.70ms  1.8417ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [158]
334.56ms  1.2305ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [167]
335.79ms  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
335.81ms  1.2355ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [174]
337.06ms  1.2376ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [181]
338.32ms  1.8429ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [189]
340.17ms  1.8416ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [197]
342.03ms  1.2314ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [206]
343.27ms  1.2480us                    -               -         -         -         -  2.0000KB  1.5283GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
343.28ms  1.2351ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [213]
344.53ms  1.2372ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [220]
345.78ms  1.8435ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [228]
347.64ms  1.8425ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [236]
349.49ms  1.2340ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [245]
350.73ms  1.0560us                    -               -         -         -         -  2.0000KB  1.8062GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
350.75ms  1.2356ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [252]
352.00ms  1.2377ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [259]
353.25ms  1.8434ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [267]
355.10ms  1.8400ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [275]
356.96ms  1.2253ms            (256 1 1)      (1024 1 1)        13  8.0000KB        0B         -           -           -           -     TITAN Xp (0)         1         7  void dot_kernel<double>(double const *, double const *, double*, unsigned int) [284]
358.18ms  1.0240us                    -               -         -         -         -  2.0000KB  1.8626GB/s      Device    Pageable     TITAN Xp (0)         1         7  [CUDA memcpy DtoH]
358.20ms  1.2353ms          (32768 1 1)      (1024 1 1)         8        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void copy_kernel<double>(double const *, double*) [291]
359.45ms  1.2376ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void mul_kernel<double>(double*, double const *) [298]
360.70ms  1.8441ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void add_kernel<double>(double const *, double const *, double*) [306]
362.56ms  1.8446ms          (32768 1 1)      (1024 1 1)        10        0B        0B         -           -           -           -     TITAN Xp (0)         1         7  void triad_kernel<double>(double*, double const *, double const *) [314]
