==182783== NVPROF is profiling process 182783, command: ./bfs_adapt ../../data/bfs/graph65536.txt
==182783== Profiling application: ./bfs_adapt ../../data/bfs/graph65536.txt
==182783== Warning: 2 records have invalid timestamps due to insufficient device buffer space. You can configure the buffer space using the option --device-buffer-size.
==182783== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.18208s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0000000  [Unified Memory CPU page faults]
1.18212s         -                    -               -         -         -         -                -         -         -           PC 0x403503   0x7f8cc0080000  [Unified Memory CPU page faults]
1.18216s         -                    -               -         -         -         -                -         -         -           PC 0x403513   0x7f8cc0090000  [Unified Memory CPU page faults]
1.18219s         -                    -               -         -         -         -                -         -         -           PC 0x403523   0x7f8cc00a0000  [Unified Memory CPU page faults]
1.18233s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0001000  [Unified Memory CPU page faults]
1.18244s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0002000  [Unified Memory CPU page faults]
1.18253s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0003000  [Unified Memory CPU page faults]
1.18264s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0004000  [Unified Memory CPU page faults]
1.18273s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0005000  [Unified Memory CPU page faults]
1.18283s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0006000  [Unified Memory CPU page faults]
1.18293s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0007000  [Unified Memory CPU page faults]
1.18303s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0008000  [Unified Memory CPU page faults]
1.18314s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0009000  [Unified Memory CPU page faults]
1.18324s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc000a000  [Unified Memory CPU page faults]
1.18334s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc000b000  [Unified Memory CPU page faults]
1.18344s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc000c000  [Unified Memory CPU page faults]
1.18354s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc000d000  [Unified Memory CPU page faults]
1.18364s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc000e000  [Unified Memory CPU page faults]
1.18374s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc000f000  [Unified Memory CPU page faults]
1.18384s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0010000  [Unified Memory CPU page faults]
1.18396s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0011000  [Unified Memory CPU page faults]
1.18406s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0012000  [Unified Memory CPU page faults]
1.18416s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0013000  [Unified Memory CPU page faults]
1.18426s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0014000  [Unified Memory CPU page faults]
1.18436s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0015000  [Unified Memory CPU page faults]
1.18446s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0016000  [Unified Memory CPU page faults]
1.18456s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0017000  [Unified Memory CPU page faults]
1.18467s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0018000  [Unified Memory CPU page faults]
1.18477s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0019000  [Unified Memory CPU page faults]
1.18487s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc001a000  [Unified Memory CPU page faults]
1.18497s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc001b000  [Unified Memory CPU page faults]
1.18507s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc001c000  [Unified Memory CPU page faults]
1.18517s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc001d000  [Unified Memory CPU page faults]
1.18527s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc001e000  [Unified Memory CPU page faults]
1.18537s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc001f000  [Unified Memory CPU page faults]
1.18547s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0020000  [Unified Memory CPU page faults]
1.18561s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0021000  [Unified Memory CPU page faults]
1.18571s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0022000  [Unified Memory CPU page faults]
1.18581s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0023000  [Unified Memory CPU page faults]
1.18592s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0024000  [Unified Memory CPU page faults]
1.18602s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0025000  [Unified Memory CPU page faults]
1.18612s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0026000  [Unified Memory CPU page faults]
1.18623s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0027000  [Unified Memory CPU page faults]
1.18633s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0028000  [Unified Memory CPU page faults]
1.18643s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0029000  [Unified Memory CPU page faults]
1.18653s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc002a000  [Unified Memory CPU page faults]
1.18664s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc002b000  [Unified Memory CPU page faults]
1.18674s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc002c000  [Unified Memory CPU page faults]
1.18684s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc002d000  [Unified Memory CPU page faults]
1.18694s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc002e000  [Unified Memory CPU page faults]
1.18705s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc002f000  [Unified Memory CPU page faults]
1.18715s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0030000  [Unified Memory CPU page faults]
1.18725s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0031000  [Unified Memory CPU page faults]
1.18736s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0032000  [Unified Memory CPU page faults]
1.18746s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0033000  [Unified Memory CPU page faults]
1.18756s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0034000  [Unified Memory CPU page faults]
1.18767s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0035000  [Unified Memory CPU page faults]
1.18777s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0036000  [Unified Memory CPU page faults]
1.18787s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0037000  [Unified Memory CPU page faults]
1.18798s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0038000  [Unified Memory CPU page faults]
1.18808s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0039000  [Unified Memory CPU page faults]
1.18818s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc003a000  [Unified Memory CPU page faults]
1.18829s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc003b000  [Unified Memory CPU page faults]
1.18839s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc003c000  [Unified Memory CPU page faults]
1.18849s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc003d000  [Unified Memory CPU page faults]
1.18859s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc003e000  [Unified Memory CPU page faults]
1.18870s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc003f000  [Unified Memory CPU page faults]
1.18880s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0040000  [Unified Memory CPU page faults]
1.18897s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0041000  [Unified Memory CPU page faults]
1.18908s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0042000  [Unified Memory CPU page faults]
1.18918s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0043000  [Unified Memory CPU page faults]
1.18928s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0044000  [Unified Memory CPU page faults]
1.18938s         -                    -               -         -         -         -                -         -         -           PC 0x4034d6   0x7f8cc0045000  [Unified Memory CPU page faults]
