==308050== NVPROF is profiling process 308050, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308050== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308050== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,ms,
"GPU activities",68.739052,268.352834,6000,44.725000,43.106000,1.791976,"cuda_compute_flux(int, int*, float*, float*, float*)"
"GPU activities",22.562107,88.081013,6000,14.680000,14.112000,0.016000,"cuda_time_step(int, int, float*, float*, float*, float*)"
"GPU activities",4.893520,19.103987,2000,9.551000,8.992000,0.014209,"[CUDA memcpy DtoD]"
"GPU activities",3.610203,14.094000,2000,7.047000,6.464000,0.339981,"cuda_compute_step_factor(int, float*, float*, float*)"
"GPU activities",0.193872,0.756862,3,252.287000,208.968000,0.288683,"cuda_initialize_variables(int, float*)"
"GPU activities",0.000967,0.003776,5,0.755000,0.704000,0.000960,"[CUDA memcpy HtoD]"
"GPU activities",0.000279,0.001088,1,1.088000,1.088000,0.001088,"[CUDA memset]"

==308050== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"TITAN Xp (0)",158,40.860352KB,4.000000KB,600.000000KB,6.304688MB,0.000000,"Host To Device"
"TITAN Xp (0)",,,,,16B,0.000000,"Gpu page fault groups"
Total CPU Page faults: 49
