==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.183779,0.000992,,,,,,,,,,0.000019,0.018777,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",105
1.183791,0.000704,,,,,,,,,,0.000011,0.015875,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",106
1.183799,0.000704,,,,,,,,,,0.000011,0.015875,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",107
1.183806,0.000672,,,,,,,,,,0.000011,0.016631,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",108
1.183813,0.000704,,,,,,,,,,0.000011,0.015875,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",109
1.204081,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8000000","[Unified Memory CPU page faults]",
1.204135,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d805e000","[Unified Memory CPU page faults]",
1.204173,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8200000","[Unified Memory CPU page faults]",
1.204211,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d837b000","[Unified Memory CPU page faults]",
1.204249,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d84f7000","[Unified Memory CPU page faults]",
1.204288,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d80bd000","[Unified Memory CPU page faults]",
1.204324,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d825e000","[Unified Memory CPU page faults]",
1.204361,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d83da000","[Unified Memory CPU page faults]",
1.204399,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8555000","[Unified Memory CPU page faults]",
1.204434,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d811c000","[Unified Memory CPU page faults]",
1.204471,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d82bd000","[Unified Memory CPU page faults]",
1.204506,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8439000","[Unified Memory CPU page faults]",
1.204543,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d85b4000","[Unified Memory CPU page faults]",
1.204578,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d817b000","[Unified Memory CPU page faults]",
1.204615,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d831c000","[Unified Memory CPU page faults]",
1.204651,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8498000","[Unified Memory CPU page faults]",
1.204688,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8613000","[Unified Memory CPU page faults]",
1.205517,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d805f000","[Unified Memory CPU page faults]",
1.211789,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d8060000","[Unified Memory CPU page faults]",
1.211827,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8260000","[Unified Memory CPU page faults]",
1.218755,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d80c0000","[Unified Memory CPU page faults]",
1.218793,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d82c0000","[Unified Memory CPU page faults]",
1.225738,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d8120000","[Unified Memory CPU page faults]",
1.225776,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8320000","[Unified Memory CPU page faults]",
1.232751,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8380000","[Unified Memory CPU page faults]",
1.232791,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d8180000","[Unified Memory CPU page faults]",
1.239789,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d83e0000","[Unified Memory CPU page faults]",
1.246790,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8440000","[Unified Memory CPU page faults]",
1.253797,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d84a0000","[Unified Memory CPU page faults]",
1.260832,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8500000","[Unified Memory CPU page faults]",
1.267895,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8560000","[Unified Memory CPU page faults]",
1.274979,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d85c0000","[Unified Memory CPU page faults]",
1.282063,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8620000","[Unified Memory CPU page faults]",
1.304784,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8010000","[Unified Memory CPU page faults]",
1.304822,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8210000","[Unified Memory CPU page faults]",
1.311905,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d8070000","[Unified Memory CPU page faults]",
1.311960,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8270000","[Unified Memory CPU page faults]",
1.320785,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d80d0000","[Unified Memory CPU page faults]",
1.320831,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d82d0000","[Unified Memory CPU page faults]",
1.328210,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d8130000","[Unified Memory CPU page faults]",
1.335392,,,,,,,,,,,,,,,,,,"PC 0x5e286de0","0x7f54d8190000","[Unified Memory CPU page faults]",
1.349485,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8450000","[Unified Memory CPU page faults]",
1.356553,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d84b0000","[Unified Memory CPU page faults]",
1.363648,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8510000","[Unified Memory CPU page faults]",
1.370744,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8570000","[Unified Memory CPU page faults]",
1.377892,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d85d0000","[Unified Memory CPU page faults]",
1.385228,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8630000","[Unified Memory CPU page faults]",
1.407941,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8020000","[Unified Memory CPU page faults]",
1.484868,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8640000","[Unified Memory CPU page faults]",
1.801239,0.276608,,,,,,,,,,,,,,"TITAN Xp (0)",,,"18","0x7f54d8800000","[Unified Memory GPU page faults]",
1.801299,0.287308,506,1,1,192,1,1,16,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_initialize_variables(int, float*)",121
1.801526,0.250624,,,,,,,,,,,,,,"TITAN Xp (0)",,,"1","0x7f54d8a00000","[Unified Memory GPU page faults]",
1.801587,0.260682,506,1,1,192,1,1,16,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_initialize_variables(int, float*)",132
