==307526== NVPROF is profiling process 307526, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==307526== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==307526== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.190834,0.001024,,,,,,,,,,0.000019,0.018190,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",105
1.190847,0.000768,,,,,,,,,,0.000011,0.014552,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",106
1.190854,0.000768,,,,,,,,,,0.000011,0.014552,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",107
1.190861,0.001056,,,,,,,,,,0.000011,0.010583,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",108
1.190868,0.000768,,,,,,,,,,0.000011,0.014552,"Pageable","Device","TITAN Xp (0)","1","7",,,"[CUDA memcpy HtoD]",109
1.211136,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d6000000","[Unified Memory CPU page faults]",
1.211190,,,,,,,,,,,,,,,,,,"PC 0x9955de0","0x7f37d605e000","[Unified Memory CPU page faults]",
1.211227,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d6200000","[Unified Memory CPU page faults]",
1.211267,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d637b000","[Unified Memory CPU page faults]",
1.211306,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d64f7000","[Unified Memory CPU page faults]",
1.211342,,,,,,,,,,,,,,,,,,"PC 0x9955de0","0x7f37d60bd000","[Unified Memory CPU page faults]",
1.211378,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d625e000","[Unified Memory CPU page faults]",
1.211414,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d63da000","[Unified Memory CPU page faults]",
1.211450,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d6555000","[Unified Memory CPU page faults]",
1.211484,,,,,,,,,,,,,,,,,,"PC 0x9955de0","0x7f37d611c000","[Unified Memory CPU page faults]",
1.211521,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d62bd000","[Unified Memory CPU page faults]",
1.211557,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d6439000","[Unified Memory CPU page faults]",
1.211593,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d65b4000","[Unified Memory CPU page faults]",
1.211626,,,,,,,,,,,,,,,,,,"PC 0x9955de0","0x7f37d617b000","[Unified Memory CPU page faults]",
1.211662,,,,,,,,,,,,,,,,,,"PC 0x990f510","0x7f37d631c000","[Unified Memory CPU page faults]",
